"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Лазерная резка — плоская точность и серийная форма — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/90e962ed4195f085314a.jpg","vansmithlab.com","","Двухмерный контур становится резом, а лист — системой деталей, соединений и модулей. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/laser-cutting-flat-precision-serial-form/","","technology, design, visual culture, VANSMITHLAB"
"Латунь — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/52f3dac4db2c603bc33c.jpg","vansmithlab.com","","Состав, патина и тёплый металлический свет · VANSMITHLAB · AI-иллюстрация","https://vansmithlab.com/ru/encyclopedia/brass-composition-patina-warm-metallic-light/","","architecture, design, visual culture, VANSMITHLAB"
"Ле Корбюзье — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/ddc305c85de59a28e57d.jpg","vansmithlab.com","","Машина для жилья, город как система и архитектура нового века · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/glossary/architects/le-corbusier/","","architecture, art, architects, artists, design, visual culture, VANSMITHLAB"
"Лина Бо Барди — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/11b6a38aedea941688a9.jpg","vansmithlab.com","","Повседневность, коллективность и архитектура открытого использования · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/glossary/architects/lina-bo-bardi/","","architecture, architects, design, visual culture, VANSMITHLAB"
"Лотта Волкова — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/8f269749ee452aefe13c.jpg","vansmithlab.com","","Стилист как культурный монтаж: субкультура, подиум и новая система вкуса · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/glossary/stylists/lotta-volkova-styling-subculture-fashion/","","fashion, photography, media-publishing, design, visual culture, VANSMITHLAB"
"Луиза Буржуа — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/af353b75ded8d81cdee7.jpg","vansmithlab.com","","Память, тело и архитектура психологического пространства · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/glossary/artists/louise-bourgeois/","","art, design, visual culture, VANSMITHLAB"
"Луис Барраган — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/498889f4264f62d91204.jpg","vansmithlab.com","","Эмоциональная архитектура цвета, тишины, сада и света · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/glossary/architects/luis-barragan/","","architecture, architects, design, visual culture, VANSMITHLAB"
"Луис Кан — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/4c4257ceca6ad009e138.jpg","vansmithlab.com","","Монументальность, свет и архитектура институтов · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/glossary/architects/louis-kahn/","","architecture, architects, materials-techniques, design, visual culture, VANSMITHLAB"
"Людвиг Мис ван дер Роэ — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/a5b6f93de58bfbc9a1ab.jpg","vansmithlab.com","","Универсальное пространство, стальной каркас и дисциплина детали · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/glossary/architects/mies-van-der-rohe/","","architecture, architects, design, visual culture, VANSMITHLAB"
"Магазин — пространство торговли как визуальная система — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/b07caf43ef21afb44e95.jpg","vansmithlab.com","","Как планировка, выкладка, свет, графика и маршрут переводят товар в опыт и решение о покупке. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/store-space-of-commerce-as-visual-system/","","space-typologies, design, visual culture, VANSMITHLAB"
"Магазин как медиа — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/5db067a510bbcc2861b0.jpg","vansmithlab.com","","Торговое пространство производит образ бренда раньше, чем происходит покупка. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/collections/magazin-kak-media/","","space-typologies, media-publishing, design, visual culture, VANSMITHLAB"
"Майкл Грейвс — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/106e2f3deb9e360ce1b6.jpg","vansmithlab.com","","Орнамент, массовый дизайн и архитектура доступности · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/glossary/architects/michael-graves/","","architecture, architects, design, visual culture, VANSMITHLAB"
"Манекен — инструмент между телом и формой — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/88825256d1f0ec95eb7c.jpg","vansmithlab.com","","Трёхмерная рабочая поверхность, на которой ткань проверяет замысел до встречи с живым телом. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/encyclopedia/dress-form-tool-between-body-and-form/","","fashion-systems, design, visual culture, VANSMITHLAB"
"Марвин Изрейел — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/7a5d634902b401b4b714.jpg","vansmithlab.com","","Отбор, напряжение и доверие в арт-дирекции · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/glossary/art-directors/marvin-israel-selection-tension-trust-art-direction/","","graphic-design, media-publishing, photography, art, design, visual culture, VANSMITHLAB"
"Марк Ньюсон — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/3a5375e749ea81c57650.jpg","vansmithlab.com","","Непрерывная поверхность без видимых стыков как форма и как производственное требование одновременно. · VANSMITHLAB · original AI illustration, 2026","https://vansmithlab.com/ru/glossary/industrial-designers/marc-newson-surface-without-a-seam/","","industrial-design, materials, design, visual culture, VANSMITHLAB"
"Марсель Дюшан — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/6d1a0c8a0b9a88514315.jpg","vansmithlab.com","","Выбор, случай и переопределение произведения искусства · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/glossary/artists/marcel-duchamp/","","art, design, visual culture, VANSMITHLAB"
"Мартин Маржела — RU | VANSMITHLAB","https://vansmithlab.com/images/pinterest/194d8d990a4a4050139b.jpg","vansmithlab.com","","Деконструкция, анонимность и одежда как система времени · VANSMITHLAB · оригинальная AI-иллюстрация, 2026","https://vansmithlab.com/ru/glossary/designers/martin-margiela/","","fashion, design, visual culture, VANSMITHLAB"
